,pit_years_of_experience,pitcher_number,rbi_ct,denom,failure_rate
114,11,8,10,105,0.095238095
115,11,9,1,37,0.027027027
116,11,10,0,2,0
117,12,1,2373,29705,0.079885541
118,12,2,271,3278,0.082672361
119,12,3,320,3703,0.086416419
120,12,4,257,2937,0.087504256
121,12,5,146,1570,0.092993631
122,12,6,52,603,0.086235489
123,12,7,21,238,0.088235294
124,12,8,3,40,0.075
125,12,9,2,25,0.08
126,12,10,3,13,0.230769231
127,13,1,2110,25934,0.081360376
128,13,2,237,2481,0.095525998
129,13,3,184,2235,0.082326622
130,13,4,150,1779,0.084317032
131,13,5,85,1078,0.078849722
132,13,6,33,491,0.067209776
133,13,7,12,124,0.096774194
134,13,8,10,82,0.12195122
135,13,9,0,7,0
136,14,1,1919,23695,0.08098755
137,14,2,155,1763,0.087918321
138,14,3,178,1879,0.09473124
139,14,4,102,1274,0.080062794
140,14,5,55,620,0.088709677
141,14,6,19,274,0.069343066
142,14,7,7,96,0.072916667
143,14,8,0,6,0
144,14,9,1,10,0.1
145,14,10,1,3,0.333333333
146,15,1,1096,13784,0.079512478
147,15,2,120,1245,0.096385542
148,15,3,99,1012,0.097826087
149,15,4,66,853,0.077373974
150,15,5,32,410,0.07804878
151,15,6,11,139,0.079136691
152,15,7,11,89,0.123595506
153,15,8,2,15,0.133333333
154,15,9,0,1,0
155,16,1,920,10667,0.086247305
156,16,2,56,801,0.069912609
157,16,3,73,892,0.081838565
158,16,4,91,975,0.093333333
159,16,5,41,563,0.072824156
160,16,6,21,282,0.074468085
161,16,7,4,67,0.059701493
162,16,8,1,17,0.058823529
163,16,11,0,1,0
164,17,1,472,6256,0.07544757
165,17,2,93,972,0.095679012
166,17,3,60,739,0.081190798
167,17,4,44,607,0.072487644
168,17,5,24,322,0.074534161
169,17,6,7,107,0.065420561
170,17,7,3,41,0.073170732
171,17,8,4,26,0.153846154
172,17,9,1,5,0.2
173,18,1,485,5235,0.092645654
174,18,2,28,342,0.081871345
175,18,3,31,428,0.072429907
176,18,4,16,242,0.066115702
177,18,5,9,148,0.060810811
178,18,6,5,44,0.113636364
179,18,7,5,23,0.217391304
180,18,8,1,1,1
181,19,1,314,3707,0.084704613
182,19,2,70,811,0.086313194
183,19,3,62,709,0.087447109
184,19,4,41,521,0.078694818
185,19,5,27,244,0.110655738
186,19,6,7,88,0.079545455
187,19,7,1,17,0.058823529
188,19,8,0,3,0
189,19,10,0,7,0
190,20,1,174,2073,0.083936324
191,20,2,43,505,0.085148515
192,20,3,23,322,0.071428571
193,20,4,14,192,0.072916667
194,20,5,8,94,0.085106383
195,20,6,1,21,0.047619048
196,21,1,30,278,0.107913669
197,21,2,24,345,0.069565217
198,21,3,38,410,0.092682927
199,21,4,24,228,0.105263158
200,21,5,10,156,0.064102564
201,21,6,6,54,0.111111111
202,21,7,1,11,0.090909091
203,22,1,48,508,0.094488189
204,22,2,40,259,0.154440154
205,22,3,17,221,0.076923077
206,22,4,18,185,0.097297297
207,22,5,10,143,0.06993007
208,22,6,5,47,0.106382979
209,22,7,1,23,0.043478261
210,22,8,0,10,0
211,23,1,28,262,0.106870229
212,24,2,3,40,0.075
213,24,3,5,61,0.081967213
214,24,4,3,42,0.071428571
215,24,5,2,23,0.086956522
216,24,8,0,1,0
